client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1,217,176,1762088603856047533000,1762088603865,-1762088602093958987776,40,0.024455619984114975,0.0,97.16522100907468
1,218,177,1762088603856261735000,1762088603907,-1762088602094172897280,34,0.08410052584463205,0.0,107.42481648498048
1,219,178,1762088603907199043000,1762088603908,-1762088602145110360064,41,0.04413372463177356,0.0,55.54525512624482
1,220,179,1762088603907526857000,1762088603959,-1762088602145438302208,50,0.020314616667337616,0.0,41.10214894488256
1,221,180,1762088603958877437000,1762088603961,-1762088602196788641792,49,0.06867762578368591,50.0,100.27401396540962
1,222,181,1762088603959201721000,1762088604010,-1762088602197113176064,47,0.09421373760504176,0.0,94.65562562431467
1,223,182,1762088604009791622000,1762088604012,-1762088602247703035904,47,0.0963690422185065,0.0,124.81042788814632
1,224,183,1762088604010331499000,1762088604061,-1762088602248242790400,47,0.062615865048177,5.0,56.14163071130468
1,225,184,1762088604060793622000,1762088604062,-1762088602298704986112,47,0.05362428654951347,0.0,78.67102671732644
1,226,185,1762088604061219615000,1762088604112,-1762088602299130970112,48,0.005673107218497986,0.0,111.5323254947549
1,227,186,1762088604111677998000,1762088604113,-1762088602349589233664,48,0.010691799960639592,0.0,121.0996198169197
1,228,187,1762088604111953548000,1762088604163,-1762088602349865009152,49,0.021637948496820537,0.0,101.9760906175545
1,229,188,1762088604163024494000,1762088604165,-1762088602400935641088,48,0.06395859514491055,0.0,63.722467059161005
1,230,189,1762088604163397629000,1762088604214,-1762088602401308934144,46,0.08119206002792748,2.5,38.32353016498445
1,231,190,1762088604213899934000,1762088604215,-1762088602451811237888,47,0.020509196598080228,0.0,131.68267643051894
1,232,191,1762088604214260551000,1762088604265,-1762088602452171685888,48,0.0522421400602496,0.0,130.84100760045698
1,233,192,1762088604265210097000,1762088604266,-1762088602503121469440,48,0.00898755406037778,0.0,77.07284910645883
1,234,193,1762088604265471072000,1762088604316,-1762088602503382302720,48,0.050697913613557966,0.0,86.12659424046508
1,235,194,1762088604316064056000,1762088604317,-1762088602553975308288,48,0.003376468781288933,0.0,188.90858788983536
1,236,195,1762088604316250400000,1762088604368,-1762088602554161692672,50,0.050543717285324946,0.0,149.1689439459608
1,237,196,1762088604367565876000,1762088604369,-1762088602605477167104,49,0.02752691264570193,0.0,166.1988561737065
1,238,197,1762088604367847310000,1762088604419,-1762088602605758709760,48,0.0910170133226964,0.0,189.32611123126412
1,239,198,1762088604418828854000,1762088604419,-1762088602656740212736,49,0.0709415799407093,0.0,85.2726975683356
1,240,199,1762088604419087873000,1762088604470,-1762088602656999211008,50,0.09743407465496226,0.0,116.1341412687009
1,241,200,1762088604470041716000,1762088604472,-1762088602707952926720,49,0.06974041119033549,0.0,57.58505430319371
1,242,201,1762088604470389934000,1762088604521,-1762088602708301316096,47,0.0330597947837139,2.4,27.137048630945305
1,243,202,1762088604520891655000,1762088604523,-1762088602758802833408,47,0.01068528175985576,0.0,149.30821857731263
1,244,203,1762088604521301369000,1762088604573,-1762088602759212564480,48,0.04627769982034964,2.5,74.26481078078075
1,245,204,1762088604572533343000,1762088604574,-1762088602810444414976,48,0.0045036976021676335,0.0,29.625382989428477
1,246,205,1762088604572823164000,1762088604625,-1762088602810734346240,49,0.06968857206552152,2.5,75.94539991570156
1,247,206,1762088604624109823000,1762088604626,-1762088602862021246976,49,0.026706671115926086,0.0,35.586076993166955
1,248,207,1762088604624431932000,1762088604676,-1762088602862343159808,48,0.045461733082969774,0.0,153.65805999138593
1,249,208,1762088604675657598000,1762088604677,-1762088602913568718848,48,0.05808763120182989,0.0,113.82168234720801
1,250,209,1762088604675961489000,1762088604727,-1762088602913872805888,48,0.03081555436410649,0.0,64.65968183368389
1,251,210,1762088604727043707000,1762088604729,-1762088602964954972160,47,0.04126834127356282,0.0,199.33607298342613
1,252,211,1762088604727320377000,1762088604778,-1762088602965231534080,46,0.09151853853978853,0.0,184.9901483261224
1,253,212,1762088604778265558000,1762088604779,-1762088603016176861184,48,0.08558797358563118,0.0,67.40527340973645
1,254,213,1762088604778484124000,1762088604829,-1762088603016395489280,49,0.024784828675148775,4.9,98.28340223700783
1,255,214,1762088604828797938000,1762088604831,-1762088603066709311488,47,0.08988089035556256,0.0,28.450463445706234
1,256,215,1762088604829033478000,1762088604880,-1762088603066944716800,46,0.0034285694060874564,2.6,140.1256042317443
1,257,216,1762088604879610274000,1762088604881,-1762088603117521731584,47,0.004071628624055523,0.0,133.0910263816156
1,258,217,1762088604879827358000,1762088604937,-1762088603117738786816,55,0.047684402636046674,0.0,113.54500142533698
1,259,218,1762088604930164432000,1762088604938,-1762088603168075677696,55,0.0611670562318037,0.0,115.36604401891809
1,260,219,1762088604937238477000,1762088604988,-1762088603175149895680,49,0.08309411168334274,0.0,81.16089438237961
1,261,220,1762088604987833213000,1762088604989,-1762088603225744474112,49,0.08160102073094694,0.0,51.8041561727644
1,262,221,1762088604988085430000,1762088605039,-1762088603225996918784,49,0.06646131230439094,0.0,66.68337626280147
1,263,222,1762088605038658912000,1762088605039,-1762088603276570001408,49,0.05498957340112011,0.0,58.785980731333815
1,264,223,1762088605038855836000,1762088605089,-1762088603276767133696,49,0.06445989995436055,4.9,154.9809625278975
1,265,224,1762088605089224086000,1762088605090,-1762088603327135481856,49,0.0825031631203212,0.0,148.96711882371636
1,266,225,1762088605089566239000,1762088605141,-1762088603327477579776,49,0.017278061561195834,0.0,99.66133933134388
1,267,226,1762088605140152316000,1762088605142,-1762088603378063507456,48,0.06618987589149604,0.0,122.88235157166933
1,268,227,1762088605140456187000,1762088605191,-1762088603378367594496,48,0.08550832801218648,0.0,82.84420274473422
1,269,228,1762088605191005441000,1762088605193,-1762088603428916822016,47,0.07278453142537519,0.0,196.04544381367216
1,270,229,1762088605191326960000,1762088605242,-1762088603429238210560,47,0.017296626045080244,0.0,178.08972177781177
1,271,230,1762088605241876049000,1762088605244,-1762088603479787175936,47,0.07313580424394582,0.0,32.87439717830905
1,272,231,1762088605242168258000,1762088605293,-1762088603480079728640,48,0.014969136698489894,0.0,74.51581103402776
1,273,232,1762088605293186656000,1762088605294,-1762088603531097931776,48,0.051184074773438476,0.0,34.20513668191722
1,274,233,1762088605293385200000,1762088605344,-1762088603531296636928,49,0.015534544316925747,2.4,186.80760659770138
1,275,234,1762088605344506224000,1762088605345,-1762088603582417338368,49,0.0477662537361182,0.0,65.16392711167268
1,276,235,1762088605344678026000,1762088605396,-1762088603582589566976,50,0.022086002406095807,0.0,34.78892090590125
1,277,236,1762088605396042973000,1762088605398,-1762088603633954324480,50,0.03932448289245525,0.0,41.55630954900286
1,278,237,1762088605396346383000,1762088605448,-1762088603634257625088,48,0.08609157185910088,0.0,59.877805698662776
1,279,238,1762088605447357534000,1762088605449,-1762088603685268750336,49,0.046815635987437015,0.0,191.18659521082228
