client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1,1,22,1762368898535,1762368898535,0,0,0.008576200463940087,5.4,86.38984510380669
2,1,20,1762368898535,1762368898536,0,0,0.031350075097676115,0.0,120.12606418317115
4,1,18,1762368898535,1762368898536,0,2,0.04857944748591345,0.0,75.75555958019122
3,1,19,1762368898535,1762368898536,1,1,0.05216528560292625,0.0,108.18451662831944
1,1,23,1762368898583,1762368898583,0,0,0.07837802061749531,5.1,52.26790375032309
2,1,21,1762368898583,1762368898584,0,0,0.08368684918654244,0.0,132.55719566372153
3,1,20,1762368898583,1762368898584,1,0,0.08985518133416234,0.0,73.19788949938753
4,1,19,1762368898583,1762368898585,1,1,0.09565190789383544,0.0,194.63927730890575
1,1,24,1762368898631,1762368898631,0,0,0.04143234894312003,0.0,188.60181552428384
2,1,22,1762368898631,1762368898632,0,0,0.06075402243037925,0.0,88.47079981970644
3,1,21,1762368898631,1762368898632,1,0,0.02586650350735279,0.0,186.73036322257943
4,1,20,1762368898631,1762368898633,1,0,0.013091477495140391,0.0,109.35808428082579
1,1,25,1762368898679,1762368898679,0,0,0.08942208755043216,0.0,169.21304413744082
3,1,22,1762368898679,1762368898680,0,0,0.026361012165285604,0.0,193.64424345315084
2,1,23,1762368898679,1762368898680,1,1,0.08767243537062569,0.0,37.201964342137146
4,1,21,1762368898679,1762368898681,1,0,0.03569244444158339,0.0,48.15208865516253
1,1,26,1762368898727,1762368898727,0,0,0.031135575033728293,0.0,198.5534925222906
2,1,24,1762368898727,1762368898731,4,2,0.07938305879418822,0.0,107.42369214515807
3,1,23,1762368898727,1762368898739,12,11,0.009661460395236743,0.0,174.4631252328315
4,1,22,1762368898727,1762368898740,12,10,0.041632446852421616,0.0,51.36116757582589
